address,kept_as,retrieved_on,content_type,bytes,sha256
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/17994.aspx,bill-pages/parliament-archive2021-bill-17994_retrieved-2026-09-18.html,2026-09-18,text/html,59472,0b9ed123ce59b33e1b32534269f546a2e43ac6843a58b31b6790d291965bc8b1
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/17999.aspx,bill-pages/parliament-archive2021-bill-17999_retrieved-2026-09-18.html,2026-09-18,text/html,59623,c6c5b85383639d20442b0acc001b53fadd85a4283089abd1756af65ff0aa7520
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/22080.aspx,bill-pages/parliament-archive2021-bill-22080_retrieved-2026-09-18.html,2026-09-18,text/html,66721,1d56259e94ced46b3bbd6752d1f51fbbc43473290ae12fa8f45a4f5eae153f61
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/22327.aspx,bill-pages/parliament-archive2021-bill-22327_retrieved-2026-09-18.html,2026-09-18,text/html,60440,442906bdcb666b6b0bf090f9987ed0bd246729749d7b407bb9bc1b33a0f35dce
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/22395.aspx,bill-pages/parliament-archive2021-bill-22395_retrieved-2026-09-18.html,2026-09-18,text/html,60342,b56cb08d73e30c5bf3ab98dc49ca56ae6d1fd5668f910d173a13a4c7ca3e1b1c
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/25100.aspx,bill-pages/parliament-archive2021-bill-25100_retrieved-2026-09-18.html,2026-09-18,text/html,59538,25651e0d3e367d5d2b9a5d3395715b4d954b97ae0ee167bb4294c91b853ed9d4
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/25122.aspx,bill-pages/parliament-archive2021-bill-25122_retrieved-2026-09-18.html,2026-09-18,text/html,59776,49f3afaf63053dc81d6c5d5df903efe408841c604c2e1806977450106251ec5f
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/25125.aspx,bill-pages/parliament-archive2021-bill-25125_retrieved-2026-09-18.html,2026-09-18,text/html,64115,0469383d5d1b6d4962203f4a270c655c3c3b7f1b9ccb6ab8a61aef834c2b4cc6
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/25277.aspx,bill-pages/parliament-archive2021-bill-25277_retrieved-2026-09-18.html,2026-09-18,text/html,58446,12188e6be72fe6a37c8b6259e609a614bab75dc78aceeab65197b3c9e331c9c9
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/25312.aspx,bill-pages/parliament-archive2021-bill-25312_retrieved-2026-09-18.html,2026-09-18,text/html,58815,7d644a3df682bdc384d969fe720b947b119a7c066f0764d085b687ea01c54aaa
