line,session,title,type,sp_bill_number,introduced,outcome,passed,withdrawn_or_fell,stage_1_date,stage_2_date,phd_reference,stage_reached_if_not_passed,note
74,2,Adoption and Children (Scotland) Act 2007,government,,2006-03-27,passed,2006-12-07,,,,,,
75,2,Adult Support and Protection (Scotland) Act 2007,government,,2006-03-30,passed,2007-02-15,,,,,,
76,2,Airdrie-Bathgate Railway and Linked Improvements Act 2007,private,,2006-05-30,passed,2007-03-28,,,,,,
77,2,Animal Health and Welfare (Scotland) Act 2006,government,,2005-10-05,passed,2006-05-31,,,,,,
78,2,Antisocial Behaviour (Scotland) Act 2004,government,,2003-10-29,passed,2004-06-17,,,,,,
79,2,Aquaculture and Fisheries (Scotland) Act 2007,government,,2006-06-29,passed,2007-03-01,,,,,,
80,2,Baird Trust Reorganisation Act 2005,private,,2004-10-27,passed,2005-06-15,,,,,,
81,2,Bankruptcy and Diligence etc. (Scotland) Act 2007,government,,2005-11-21,passed,2006-11-30,,,,,,
82,2,Breastfeeding etc. (Scotland) Act 2005,members,,2003-12-16,passed,2004-11-18,,,,,,
83,2,Budget (Scotland) Act 2007,government,,2007-01-18,passed,2007-02-14,,,,,,
84,2,Budget (Scotland) Act 2006,government,,2006-01-19,passed,2006-02-09,,,,,,
85,2,Budget (Scotland) Act 2005,government,,2005-01-19,passed,2005-02-09,,,,,,
86,2,Budget (Scotland) Act 2004,government,,2004-01-20,passed,2004-02-12,,,,,,
87,2,Charities and Trustee Investment (Scotland) Act 2005,government,,2004-11-15,passed,2005-06-09,,,,,,
88,2,Christmas Day and New Year’s Day Trading (Scotland) Act 2007,members,,2006-03-20,passed,2007-03-07,,,,,,
89,2,Criminal Procedure (Amendment) (Scotland) Act 2004,government,,2003-10-07,passed,2004-04-28,,,,,,
90,2,Criminal Proceedings etc. (Reform) (Scotland) Act 2007,government,,2006-02-27,passed,2007-01-18,,,,,,
91,2,Crofting Reform etc. Act 2007,government,,2006-03-02,passed,2007-01-25,,,,,,
92,2,Custodial Sentences and Weapons (Scotland) Act 2007,government,,2006-10-02,passed,2007-03-15,,,,,,
93,2,Edinburgh Airport Rail Link Act 2007,private,,2006-03-16,passed,2007-03-14,,,,,,
94,2,Edinburgh Tram (Line One) Act 2006,private,,2004-01-29,passed,2006-03-29,,,,,,
95,2,Edinburgh Tram (Line Two) Act 2006,private,,2004-01-29,passed,2006-03-22,,,,,,
96,2,Education (Additional Support for Learning) (Scotland) Act 2004,government,,2003-10-28,passed,2004-04-01,,,,,,
97,2,Education (School Meals) (Scotland) Act 2003,government,,2003-05-28,passed,2003-06-11,,,,,,
98,2,Emergency Workers (Scotland) Act 2005,government,,2004-03-22,passed,2004-12-22,,,,,,
99,2,Environmental Assessment (Scotland) Act 2005,government,,2005-03-02,passed,2005-11-09,,,,,,
100,2,Family Law (Scotland) Act 2006,government,,2005-02-07,passed,2005-12-15,,,,,,
101,2,Fire (Scotland) Act 2005,government,,2004-06-28,passed,2005-02-23,,,,,,
102,2,Further and Higher Education (Scotland) Act 2005,government,,2004-09-30,passed,2005-04-20,,,,,,
103,2,Gaelic Language (Scotland) Act 2005,government,,2004-09-27,passed,2005-04-21,,,,,,
104,2,Glasgow Airport Rail Link Act 2007,private,,2006-01-31,passed,2006-11-29,,,,,,
105,2,Housing (Scotland) Act 2006,government,,2005-03-07,passed,2005-11-24,,,,,,
106,2,Human Tissue (Scotland) Act 2006,government,,2005-06-03,passed,2006-02-02,,,,,,
107,2,Interests of Members of the Scottish Parliament Act 2006,committee,,2005-09-12,passed,2006-06-08,,,,,,
